work_package,split_name,split_sha256,git_sha,run_id,arch,recipe_actual,variant,provenance_tag,ckpt_sha256,condition_id,stage,n_images,norm_p50,norm_p90,norm_p99,norm_p999,norm_max,mad_thr,count_fixed_canon,count_fixed_cal,count_mad,cos_all,cos_nosink_mad,eff_rank
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,native,hist,10000,93.76401708,110.3400618,461.5744012,579.3231882,593.7975437,127.8718542,11.4151,11.4417,9.5321,0.7332294252,0.7633691132,56.90074439
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,native,s11_out,10000,53.19190329,84.92478906,466.0725201,584.1911896,598.6755668,96.7574381,MISSING,13.2845,14.0529,0.4183956566,0.4660573813,66.96730116
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,316211c719c41113c1f9bffa7f500e158d727c0f0998e41869796209a3fd1339,native,s12_post_norm,10000,10.36225005,12.2001508,13.03318688,13.31528811,13.35538157,14.9043967,MISSING,2.1652,0.9511,0.5346022267,0.5369530065,94.61905237
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5,native,hist,10000,40.50335777,58.4709831,269.3254986,351.1187715,360.8370527,69.5076555,5.5554,5.556,10.3275,0.3904943974,0.3977461594,89.56997459
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5,native,s11_out,10000,33.02547134,57.25215954,233.3692987,312.5639752,322.0879087,51.00807447,MISSING,5.6655,24.789,0.351988897,0.383714422,95.24893408
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,legacy_e2_vit_base_nomixdir_baseline,vit_base,mixup,baseline,legacy-nomixdir,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5,native,s12_post_norm,10000,13.75606438,14.92027704,15.32753447,15.44297809,15.45895733,17.75649074,MISSING,41.3852,0.0023,0.2382355972,0.2382361775,125.7056802
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,legacy_e2_vit_base_nomixdir_registers,vit_base,mixup,registers,legacy-nomixdir,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1,native,hist,10000,89.36646032,102.5873405,112.0321966,114.0330952,114.3049362,122.966801,0.0219,0.0225,1.3307,0.8168071322,0.8190574881,75.27183638
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,legacy_e2_vit_base_nomixdir_registers,vit_base,mixup,registers,legacy-nomixdir,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1,native,s11_out,10000,46.95567223,67.98312892,84.2199556,86.91905248,87.28473882,79.09646736,MISSING,0.0658,9.0714,0.4251056934,0.4608903421,102.4826279
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,legacy_e2_vit_base_nomixdir_registers,vit_base,mixup,registers,legacy-nomixdir,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1,native,s12_post_norm,10000,9.205331143,10.49062523,11.61563877,12.06777324,12.13182889,12.27681797,MISSING,0.3212,1.662,0.5635037708,0.5636789719,104.47393
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,dca8f073d40b8b967595fc4c91e8eaa9b2b737d2,e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s1,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,native,hist,10000,31.64307371,48.37086936,302.6154422,533.3042361,559.0851653,49.63448167,4.1811,4.1812,18.5488,0.3241794807,0.3381342016,81.28591773
